"filename", "language", "TypeScript", "JSON with Comments", "TypeScript JSX", "Prisma", "SCSS", "YAML", "SQL", "XML", "Markdown", "JSON", "JavaScript", "comment", "blank", "total"
"c:\Users\antho\Desktop\nextjs-social-app\src\app\api\graphql\types\Post.ts", "TypeScript", 188, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10, 201
"c:\Users\antho\Desktop\nextjs-social-app\src\app\api\graphql\types\Profile.ts", "TypeScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 33
"c:\Users\antho\Desktop\nextjs-social-app\src\app\api\graphql\types\User.ts", "TypeScript", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 58
"c:\Users\antho\Desktop\nextjs-social-app\src\app\api\graphql\types\enums.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\antho\Desktop\nextjs-social-app\src\app\chats\layout.tsx", "TypeScript JSX", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"c:\Users\antho\Desktop\nextjs-social-app\src\app\chats\page.module.scss", "SCSS", 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 9, 42
"c:\Users\antho\Desktop\nextjs-social-app\src\app\chats\page.tsx", "TypeScript JSX", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 28
"c:\Users\antho\Desktop\nextjs-social-app\src\app\discover\layout.tsx", "TypeScript JSX", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"c:\Users\antho\Desktop\nextjs-social-app\src\app\discover\page.module.scss", "SCSS", 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 9, 53
"c:\Users\antho\Desktop\nextjs-social-app\src\app\discover\page.tsx", "TypeScript JSX", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 31
"c:\Users\antho\Desktop\nextjs-social-app\src\app\home\layout.tsx", "TypeScript JSX", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Users\antho\Desktop\nextjs-social-app\src\app\home\page.module.scss", "SCSS", 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 11, 52
"c:\Users\antho\Desktop\nextjs-social-app\src\app\home\page.tsx", "TypeScript JSX", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 40
"c:\Users\antho\Desktop\nextjs-social-app\src\app\layout.tsx", "TypeScript JSX", 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 63
"c:\Users\antho\Desktop\nextjs-social-app\src\app\me\layout.tsx", "TypeScript JSX", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"c:\Users\antho\Desktop\nextjs-social-app\src\app\me\page.module.scss", "SCSS", 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 11, 51
"c:\Users\antho\Desktop\nextjs-social-app\src\app\me\page.tsx", "TypeScript JSX", 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 75
"c:\Users\antho\Desktop\nextjs-social-app\src\app\moments\layout.tsx", "TypeScript JSX", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"c:\Users\antho\Desktop\nextjs-social-app\src\app\moments\page.module.scss", "SCSS", 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 11, 52
"c:\Users\antho\Desktop\nextjs-social-app\src\app\moments\page.tsx", "TypeScript JSX", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 41
"c:\Users\antho\Desktop\nextjs-social-app\src\app\notifications\layout.tsx", "TypeScript JSX", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"c:\Users\antho\Desktop\nextjs-social-app\src\app\notifications\page.module.scss", "SCSS", 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 11, 54
"c:\Users\antho\Desktop\nextjs-social-app\src\app\notifications\page.tsx", "TypeScript JSX", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 31
"c:\Users\antho\Desktop\nextjs-social-app\src\app\page.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\antho\Desktop\nextjs-social-app\src\app\page.tsx", "TypeScript JSX", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\antho\Desktop\nextjs-social-app\src\components\Avatar.tsx", "TypeScript JSX", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 22
"c:\Users\antho\Desktop\nextjs-social-app\src\components\Button.tsx", "TypeScript JSX", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 32
"c:\Users\antho\Desktop\nextjs-social-app\src\components\Card.tsx", "TypeScript JSX", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 23
"c:\Users\antho\Desktop\nextjs-social-app\src\components\ChatTab.tsx", "TypeScript JSX", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 32
"c:\Users\antho\Desktop\nextjs-social-app\src\components\Chip.tsx", "TypeScript JSX", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 39
"c:\Users\antho\Desktop\nextjs-social-app\src\components\Comment.tsx", "TypeScript JSX", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 39
"c:\Users\antho\Desktop\nextjs-social-app\src\components\Divider.tsx", "TypeScript JSX", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\antho\Desktop\nextjs-social-app\src\components\Dropdown.tsx", "TypeScript JSX", 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 10, 15, 87
"c:\Users\antho\Desktop\nextjs-social-app\src\components\Icon.tsx", "TypeScript JSX", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 28
"c:\Users\antho\Desktop\nextjs-social-app\src\components\Image.tsx", "TypeScript JSX", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 24
