"filename", "language", "TypeScript", "JSON with Comments", "Prisma", "SCSS", "TypeScript JSX", "GraphQL", "JSON", "Markdown", "comment", "blank", "total"
"c:\Users\antho\Desktop\nextjs-social-app\src\app\(home)\moments\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 20, 0, 0, 0, 0, 4, 24
"c:\Users\antho\Desktop\nextjs-social-app\src\app\(home)\moments\page.module.scss", "SCSS", 0, 0, 0, 12, 0, 0, 0, 0, 0, 4, 16
"c:\Users\antho\Desktop\nextjs-social-app\src\app\(home)\notifications\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 17, 0, 0, 0, 0, 3, 20
"c:\Users\antho\Desktop\nextjs-social-app\src\app\(home)\notifications\page.module.scss", "SCSS", 0, 0, 0, 27, 0, 0, 0, 0, 0, 7, 34
"c:\Users\antho\Desktop\nextjs-social-app\src\app\(home)\notifications\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 20, 0, 0, 0, 0, 3, 23
"c:\Users\antho\Desktop\nextjs-social-app\src\app\(home)\page.module.scss", "SCSS", 0, 0, 0, 37, 0, 0, 0, 0, 0, 9, 46
"c:\Users\antho\Desktop\nextjs-social-app\src\app\(home)\user\[username]\@profile\loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 5, 0, 0, 0, 0, 3, 8
"c:\Users\antho\Desktop\nextjs-social-app\src\app\(home)\user\[username]\@profile\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 16, 0, 0, 0, 0, 3, 19
"c:\Users\antho\Desktop\nextjs-social-app\src\app\(home)\user\[username]\@timeline\loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 5, 0, 0, 0, 0, 3, 8
"c:\Users\antho\Desktop\nextjs-social-app\src\app\(home)\user\[username]\@timeline\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 20, 0, 0, 0, 0, 5, 25
"c:\Users\antho\Desktop\nextjs-social-app\src\app\(home)\user\[username]\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 20, 0, 0, 0, 0, 4, 24
"c:\Users\antho\Desktop\nextjs-social-app\src\app\(home)\user\[username]\page.module.scss", "SCSS", 0, 0, 0, 12, 0, 0, 0, 0, 0, 6, 18
"c:\Users\antho\Desktop\nextjs-social-app\src\app\(landing)\@landing\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
"c:\Users\antho\Desktop\nextjs-social-app\src\app\(landing)\@landing\loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 5, 0, 0, 0, 0, 3, 8
"c:\Users\antho\Desktop\nextjs-social-app\src\app\(landing)\@landing\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 15, 0, 0, 0, 0, 5, 20
"c:\Users\antho\Desktop\nextjs-social-app\src\app\(landing)\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 4, 0, 0, 0, 0, 2, 6
"c:\Users\antho\Desktop\nextjs-social-app\src\app\@auth\error\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 10, 0, 0, 0, 0, 3, 13
"c:\Users\antho\Desktop\nextjs-social-app\src\app\@auth\login\page.module.scss", "SCSS", 0, 0, 0, -25, 0, 0, 0, 0, 0, -6, -31
"c:\Users\antho\Desktop\nextjs-social-app\src\app\@auth\login\page.tsx", "TypeScript JSX", 0, 0, 0, 0, -44, 0, 0, 0, 0, -1, -45
"c:\Users\antho\Desktop\nextjs-social-app\src\app\@auth\logout\loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 10, 0, 0, 0, 0, 3, 13
"c:\Users\antho\Desktop\nextjs-social-app\src\app\@auth\logout\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 7
"c:\Users\antho\Desktop\nextjs-social-app\src\app\@postDetail\(.)post\[postId]\DraftReplyClient.tsx", "TypeScript JSX", 0, 0, 0, 0, 59, 0, 0, 0, 0, 9, 68
"c:\Users\antho\Desktop\nextjs-social-app\src\app\@postDetail\(.)post\[postId]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 35, 0, 0, 0, 0, 5, 40
"c:\Users\antho\Desktop\nextjs-social-app\src\app\@postDetail\default.tsx", "TypeScript JSX", 0, 0, 0, 0, 4, 0, 0, 0, 0, 2, 6
"c:\Users\antho\Desktop\nextjs-social-app\src\app\@settings\profile\ProfileFormWithData.tsx", "TypeScript JSX", 0, 0, 0, 0, 75, 0, 0, 0, 0, 3, 78
"c:\Users\antho\Desktop\nextjs-social-app\src\app\@settings\profile\error.tsx", "TypeScript JSX", 0, 0, 0, 0, 7, 0, 0, 0, 0, 3, 10
"c:\Users\antho\Desktop\nextjs-social-app\src\app\@settings\profile\page.module.scss", "SCSS", 0, 0, 0, -8, 0, 0, 0, 0, 0, -2, -10
